"","trip.no","area.id","date","grid.id","trap.id","observer","fate","tag.left","tag.right","species","sex","weight","length","notch","repro.stat","died","trap.note","valley","grid","month","year","day.ord"
"8303",8,"P+",2001-02-23,"MR2","I4","Choquenot","RECAP","1380","1391","Rat","",NA,NA,"","","","","hol","hol MR2","Feb",2001,4
"8305",8,"P+",2001-02-23,"MR2","I7","Choquenot","RECAP","1384","2938","Rat","",NA,NA,"","","","Right Tag changed from 1400 to 2938 (23/02/2001).","hol","hol MR2","Feb",2001,4
"8306",8,"P+",2001-02-23,"R1","A7","Yockney","NEW","1261","1438","Rat","F",45,120,"","Juv","","","hol","hol R1","Feb",2001,4
"8307",8,"P+",2001-02-23,"R1","A9","Yockney","RECAP","1136","1449","Rat","",NA,NA,"","","","","hol","hol R1","Feb",2001,4
"8388",8,"P+",2001-02-24,"M2","H3","Young","DEAD","","","Rat","",NA,NA,"","","","","hol","hol M2","Feb",2001,5
"8421",8,"P+",2001-02-24,"MR2","A7","Yockney","NEW","1439","1444","Rat","M",120,160,"","Adult","","","hol","hol MR2","Feb",2001,5
"8447",8,"P+",2001-02-24,"MR2","I4","Choquenot","RECAP","1380","1391","Rat","",NA,NA,"","","","","hol","hol MR2","Feb",2001,5
"8451",8,"P+",2001-02-24,"R1","A9","Yockney","RECAP","1136","1449","Rat","",NA,NA,"","","","","hol","hol R1","Feb",2001,5
"8456",8,"P+",2001-02-24,"R1","B7","Yockney","RECAP","1272","2696","Rat","M",NA,NA,"","","","","hol","hol R1","Feb",2001,5
"8492",9,"P-",2001-05-16,"M1","I9","Yockney","DEAD","","","Rat","",NA,NA,"","","","","egl","egl M1","May",2001,1
"8495",9,"P-",2001-05-16,"M2","I9","Young","DEAD","","","Rat","",NA,NA,"","","","","egl","egl M2","May",2001,1
"8665",9,"P-",2001-05-17,"R1","B1","Yockney","NEW","1456","2958","Rat","F",125,175,"Aut","Juv","","","egl","egl R1","May",2001,2
"8836",9,"P-",2001-05-19,"M1","E9","Yockney","DEAD","","","Rat","",NA,NA,"","","","","egl","egl M1","May",2001,4
"8865",9,"P-",2001-05-19,"MR1","B7","Yockney","NEW","2987","2999","Rat","M",68,130,"","Juv","","","egl","egl MR1","May",2001,4
"9071",9,"P+",2001-05-22,"M2","B2","Yockney","DEAD","","","Rat","",NA,NA,"","","y","DOA","hol","hol M2","May",2001,1
"9079",9,"P+",2001-05-22,"M2","D7","Yockney","DEAD","","","Rat","",NA,NA,"","","y","DOA","hol","hol M2","May",2001,1
"9100",9,"P+",2001-05-22,"MR1","D4","Yockney","NEW","2939","2949","Rat","M",35,100,"","Juv","","","hol","hol MR1","May",2001,1
"9103",9,"P+",2001-05-22,"MR1","E2","Yockney","NEW","1410","1530","Rat","F",36,110,"","Juv","","Sp??","hol","hol MR1","May",2001,1
"9104",9,"P+",2001-05-22,"MR1","E7","Yockney","OLD","1389","1371","Rat","F",43,130,"","Adult","","","hol","hol MR1","May",2001,1
"9140",9,"P+",2001-05-22,"R2","B7","Yockney","NEW","","","Rat","",NA,NA,"","","y","DOA","hol","hol R2","May",2001,1
"9147",9,"P+",2001-05-22,"R2","F8","Yockney","NEW","1523","2915","Rat","F",38,110,"","Juv","","","hol","hol R2","May",2001,1
"9217",9,"P+",2001-05-23,"MR1","C3","Yockney","RECAP","2939","2949","Rat","",NA,NA,"","","","","hol","hol MR1","May",2001,2
"9226",9,"P+",2001-05-23,"MR1","E2","Choquenot","OLD","1530","1410","Rat","",NA,NA,"","","y","DOA","hol","hol MR1","May",2001,2
"9274",9,"P+",2001-05-23,"MR2","I2","Choquenot","NEW","1492","1595","Rat","F",50,120,"","Juv","","","hol","hol MR2","May",2001,2
"9275",9,"P+",2001-05-23,"MR2","I3","Choquenot","NEW","1495","1580","Rat","M",53,130,"","Juv","","","hol","hol MR2","May",2001,2
"9323",9,"P+",2001-05-23,"R2","F8","Choquenot","RECAP","1523","2915","Rat","",NA,NA,"","","","","hol","hol R2","May",2001,2
"9341",9,"P+",2001-05-29,"M1","C9","Young","DEAD","","","Rat","",NA,NA,"","","","","hol","hol M1","May",2001,3
"9367",9,"P+",2001-05-29,"M1","I8","Choquenot","DEAD","","","Rat","",NA,NA,"","","","","hol","hol M1","May",2001,3
"9372",9,"P+",2001-05-29,"M2","C4","Young","DEAD","","","Rat","",NA,NA,"","","","","hol","hol M2","May",2001,3
"9425",9,"P+",2001-05-29,"MR2","H7","Choquenot","OLD","1384","2938","Rat","M",55,138,"","Adult","","2938 is a new tag","hol","hol MR2","May",2001,3
"9427",9,"P+",2001-05-29,"MR2","I2","Choquenot","RECAP","1492","1595","Rat","F",NA,120,"","Juv","","","hol","hol MR2","May",2001,3
"9430",9,"P+",2001-05-29,"R1","A5","Young","NEW","1501","1594","Rat","M",60,120,"","Juv","","","hol","hol R1","May",2001,3
"9515",9,"P+",2001-05-30,"M2","G1","Choquenot","DEAD","","","Rat","",NA,NA,"","","y","DOA","hol","hol M2","May",2001,4
"9527",9,"P+",2001-05-30,"MR1","F9","Choquenot","NEW","1464","1600","Rat","F",16.5,90,"","Juv","","","hol","hol MR1","May",2001,4
"9529",9,"P+",2001-05-30,"MR1","G9","Choquenot","NEW","1472","1586","Rat","F",20.5,90,"","Juv","","","hol","hol MR1","May",2001,4
"9542",9,"P+",2001-05-30,"MR2","F6","Choquenot","RECAP","1384","2938","Rat","",NA,NA,"","","","","hol","hol MR2","May",2001,4
"9549",9,"P+",2001-05-30,"MR2","I5","Choquenot","RECAP","1495","1580","Rat","M",52,130,"","Juv","","","hol","hol MR2","May",2001,4
"9550",9,"P+",2001-05-30,"MR2","I6","Choquenot","OLD","1380","1391","Rat","M",57,135,"","Adult","","","hol","hol MR2","May",2001,4
"9551",9,"P+",2001-05-30,"R1","B6","Young","NEW","1505","1510","Rat","M",45,100,"","Juv","","","hol","hol R1","May",2001,4
"9552",9,"P+",2001-05-30,"R1","B7","Young","NEW","","","Rat","",NA,NA,"","","","escaped untagged","hol","hol R1","May",2001,4
"9570",9,"P+",2001-05-30,"R1","I2","Choquenot","OLD","1363","1375","Rat","F",47,130,"","Juv","","","hol","hol R1","May",2001,4
"9578",9,"P+",2001-05-30,"R2","E9","Young","NEW","1538","1547","Rat","F",165,NA,"","","","","hol","hol R2","May",2001,4
"9602",9,"P+",2001-05-31,"M1","I1","Choquenot","DEAD","","","Rat","",NA,NA,"","","","","hol","hol M1","May",2001,5
"9617",9,"P+",2001-05-31,"MR1","E4","Young","OLD","1015","1210","Rat","",NA,NA,"","","","","hol","hol MR1","May",2001,5
"9620",9,"P+",2001-05-31,"MR1","E9","Young","RECAP","1464","1600","Rat","",NA,NA,"","","","","hol","hol MR1","May",2001,5
"9622",9,"P+",2001-05-31,"MR1","F4","Choquenot","NEW","1253","1588","Rat","M",30,105,"","Juv","","","hol","hol MR1","May",2001,5
"9624",9,"P+",2001-05-31,"MR1","G9","Choquenot","OLD","1281","1367","Rat","M",46,120,"","Adult","","","hol","hol MR1","May",2001,5
"9625",9,"P+",2001-05-31,"MR1","H3","Choquenot","OLD","1486","2927","Rat","M",70,140,"","Adult","","Both new tags","hol","hol MR1","May",2001,5
"9626",9,"P+",2001-05-31,"MR1","H7","Choquenot","OLD","1334","1477","Rat","F",55,130,"","Juv","","1477 new tag","hol","hol MR1","May",2001,5
"9650",9,"P+",2001-05-31,"MR2","H4","Choquenot","NEW","2946","2974","Rat","F",56,125,"","Juv","","","hol","hol MR2","May",2001,5
"9653",9,"P+",2001-05-31,"MR2","I3","Choquenot","RECAP","1492","1595","Rat","F",NA,NA,"","","","","hol","hol MR2","May",2001,5
"9654",9,"P+",2001-05-31,"MR2","I7","Choquenot","RECAP","1384","2938","Rat","",NA,NA,"","","","","hol","hol MR2","May",2001,5
"9656",9,"P+",2001-05-31,"R1","A3","Young","NEW","","","Rat","",NA,NA,"","","y","DOA","hol","hol R1","May",2001,5
"9657",9,"P+",2001-05-31,"R1","A4","Young","RECAP","1501","1594","Rat","M",NA,NA,"","","","","hol","hol R1","May",2001,5
"9660",9,"P+",2001-05-31,"R1","D6","Young","OLD","","","Rat","",NA,NA,"","","y","Stoat in trap had eaten rat.  No tags.","hol","hol R1","May",2001,5
"9885",10,"P+",2001-08-17,"MR1","I4","Drew","NEW","","","Rat","",NA,NA,"","","","Tail only left","hol","hol MR1","Aug",2001,1
"9918",10,"P+",2001-08-17,"R1","A4","","OLD","1501","1594","Rat","M",50,130,"","Juv","","","hol","hol R1","Aug",2001,1
"9923",10,"P+",2001-08-17,"R1","D5","","OLD","","","Rat","F",NA,NA,"","Adult","y","DOA - both tags lost","hol","hol R1","Aug",2001,1
"10054",10,"P+",2001-08-19,"R1","A4","Ruscoe","RECAP","1501","1594","Rat","M",NA,NA,"","Juv","","","hol","hol R1","Aug",2001,3
"10063",10,"P+",2001-08-19,"R1","E4","Drew","OLD","1240","1536","Rat","M",50,135,"","Adult","","","hol","hol R1","Aug",2001,3
"10078",10,"P+",2001-08-20,"M1","A4","Ruscoe","DEAD","","","Rat","",NA,NA,"","","","","hol","hol M1","Aug",2001,4
"10110",10,"P+",2001-08-20,"MR1","I7","Drew","NEW","1381","1417","Rat","M",120,NA,"","Adult","","","hol","hol MR1","Aug",2001,4
"10117",10,"P+",2001-08-20,"R1","A4","Ruscoe","RECAP","1501","1594","Rat","M",NA,NA,"","Juv","","","hol","hol R1","Aug",2001,4
"10122",10,"P+",2001-08-20,"R1","B3","Ruscoe","RECAP","1240","1536","Rat","M",60,130,"","Adult","","","hol","hol R1","Aug",2001,4
"10163",10,"P+",2001-08-21,"M2","G2","","DEAD","","","Rat","",NA,NA,"","","","","hol","hol M2","Aug",2001,5
"10179",10,"P+",2001-08-21,"MR1","G8","Drew","OLD","1249","1294","Rat","F",50,125,"","Adult","","","hol","hol MR1","Aug",2001,5
"10196",10,"P+",2001-08-21,"R1","A5","Ruscoe","RECAP","1501","1594","Rat","M",NA,NA,"","","","","hol","hol R1","Aug",2001,5
"10199",10,"P+",2001-08-21,"R1","G9","Drew","OLD","1420","1506","Rat","M",50,125,"","Adult","","","hol","hol R1","Aug",2001,5
"10484",11,"P+",2001-11-07,"MR1","G9","Choquenot","OLD","","","Rat","F",NA,NA,"","Adult","y","""""""Kiore half eaten (no tags) Stoat Caught""""""","hol","hol MR1","Nov",2001,2
"10486",11,"P+",2001-11-07,"MR1","H9","Choquenot","OLD","1005","1294","Rat","F",40,130,"","Adult","","","hol","hol MR1","Nov",2001,2
"10691",11,"P+",2001-11-09,"MR1","H9","Choquenot","RECAP","1005","1294","Rat","F",NA,NA,"","","","","hol","hol MR1","Nov",2001,4
"10972",12,"P+",2002-05-12,"M1","E4","Yockney","DEAD","0","0","Rat","",NA,NA,"","","","","hol","hol M1","May",2002,1
"10979",12,"P+",2002-05-12,"M2","E5","Yockney","DEAD","0","0","Rat","",NA,NA,"","","","","hol","hol M2","May",2002,1
"11123",12,"P+",2002-05-14,"M1","E6","Yockney","DEAD","0","0","Rat","",NA,NA,"","","","","hol","hol M1","May",2002,3
"11171",12,"P+",2002-05-14,"MR2","H8","Yockney","NEW","1114","1194","Rat","M",110,150,"","Juv","","","hol","hol MR2","May",2002,3
"11212",12,"P+",2002-05-14,"R2","H4","Yockney","NEW","1018","1102","Rat","M",85,140,"","Juv","","","hol","hol R2","May",2002,3
"11349",13,"P+",2002-11-10,"MR1","E2","Choquenot","NEW","1001","1025","Rat","F",72,130,"","Adult","","","hol","hol MR1","Nov",2002,1
"11522",14,"P+",2003-03-10,"M2","B1","Yockney","NEW","1366","1404","Rat","F",68,120,"","Juv","","Tail = 160","hol","hol M2","Feb",2003,2
"11533",14,"P+",2003-03-10,"MR1","E1","Ruscoe","NEW","1399","1508","Rat","F",34,110,"","Juv","","Tail = 100","hol","hol MR1","Feb",2003,2
"11538",14,"P+",2003-03-10,"MR1","G9","Ruscoe","NEW","1470","1546","Rat","M",130,150,"","Adult","","tail = 160.  All white belly","hol","hol MR1","Feb",2003,2
"11558",14,"P+",2003-03-11,"M2","I1","Heyward","NEW","1226","1231","Rat","F",54,125,"","Juv","","Tail = 150mm","hol","hol M2","Feb",2003,3
"11607",14,"P+",2003-03-12,"R2","E9","Ruscoe","NEW","1499","1513","Rat","M",34.5,105,"","Juv","","slate gray belly","hol","hol R2","Feb",2003,4
"11612",14,"P+",2003-03-12,"R2","H3","Heyward","NEW","1022","1073","Rat","M",60,125,"","Adult","","Tail = 165mm","hol","hol R2","Feb",2003,4
"11705",15,"P+",2003-05-11,"M2","F1","Heyward","NEW","1452","1529","Rat","F",82,130,"","Juv","","","hol","hol M2","May",2003,1
"11711",15,"P+",2003-05-11,"MR1","B2","Drew","NEW","n/a","1333","Rat","F",60,130,"Aut","Juv","","Tail = 160mmm","hol","hol MR1","May",2003,1
"11747",15,"P+",2003-05-12,"M2","H2","Drew","NEW","0","0","Rat","M",75,140,"","Adult","y","DOA","hol","hol M2","May",2003,2
"11775",15,"P+",2003-05-12,"MR2","G7","Drew","NEW","1412","1533","Rat","F",68,125,"","Juv","","","hol","hol MR2","May",2003,2
"11781",15,"P+",2003-05-12,"R2","A2","Drew","NEW","1534","1599","Rat","F",67,130,"","Juv","","tail = 150mm","hol","hol R2","May",2003,2
"11808",15,"P+",2003-05-13,"MR1","I1","Ruscoe","NEW","1597","4828","Rat","F",51,125,"","Juv","","","hol","hol MR1","May",2003,3
"11892",15,"P+",2003-05-14,"R2","A4","Drew","NEW","1388","1593","Rat","M",60,120,"","Juv","","Tail = 160mm","hol","hol R2","May",2003,4
"11903",15,"P+",2003-05-15,"M2","I7","Heyward","NEW","1516","1520","Rat","M",96,150,"","Adult","","","hol","hol M2","May",2003,5
"12160",16,"P+",2003-08-10,"M2","E6","Yockney","NEW","1531","0","Rat","",NA,NA,"","","","","hol","hol M2","Aug",2003,1
"12167",16,"P+",2003-08-10,"MR1","B6","Ruscoe","NEW","0","0","Rat","",NA,NA,"","","y","DOA - and Stoat in trap","hol","hol MR1","Aug",2003,1
"12173",16,"P+",2003-08-10,"MR1","H2","Heyward","NEW","4010","4021","Rat","F",40,120,"","Adult","","","hol","hol MR1","Aug",2003,1
"12188",16,"P+",2003-08-10,"R2","D5","Yockney","NEW","1515","2933","Rat","F",108,165,"","Adult","","","hol","hol R2","Aug",2003,1
"12290",16,"P+",2003-08-12,"MR1","H2","Ruscoe","NEW","1121","1213","Rat","M",47,130,"","Adult","","Tail 130mm","hol","hol MR1","Aug",2003,3
"12294",16,"P+",2003-08-12,"MR2","B7","Ruscoe","NEW","1023","1137","Rat","M",78,140,"","Juv","","Tail 160mm???   Looks like it had one ear tag previously??   Kiore coloured stomach","hol","hol MR2","Aug",2003,3
"12338",16,"P+",2003-08-13,"MR1","F6","Coleman","NEW","1129","1147","Rat","F",80,NA,"","Adult","","Length recorded as 320??","hol","hol MR1","Aug",2003,4
"12382",16,"P+",2003-08-14,"MR1","H2","Coleman","NEW","1116","1127","Rat","M",150,NA,"","Adult","","Length = 360?","hol","hol MR1","Aug",2003,5
"12383",16,"P+",2003-08-14,"MR1","H3","Heyward","RECAP","4010","4021","Rat","",NA,NA,"","","","","hol","hol MR1","Aug",2003,5
"12634",17,"P+",2003-11-14,"M2","D8","Drew","NEW","0","0","Rat","",127,NA,"","","","Escaped!","hol","hol M2","Nov",2003,1
"12641",17,"P+",2003-11-14,"MR1","D1","Drew","NEW","2912","3997","Rat","F",22,90,"","Juv","","Tail 95  Right Tag changed from 4181 to 3997 (14/11/2003).","hol","hol MR1","Nov",2003,1
"12642",17,"P+",2003-11-14,"MR1","E6","Drew","NEW","4023","4975","Rat","M",88,145,"","Adult","","Tail 192  (seems long?)","hol","hol MR1","Nov",2003,1
"12644",17,"P+",2003-11-14,"MR1","F8","Yockney","NEW","1583","4193","Rat","F",30,108,"","Juv","","108 tail","hol","hol MR1","Nov",2003,1
"12645",17,"P+",2003-11-14,"MR1","H3","Yockney","NEW","1466","4182","Rat","F",35,108,"","Juv","","103 tail","hol","hol MR1","Nov",2003,1
"12690",17,"P+",2003-11-15,"M2","A4","Drew","NEW","9999","9999","Rat","?",NA,NA,"","Juv","y","DOA","hol","hol M2","Nov",2003,2
"12757",17,"P+",2003-11-16,"MR1","A8","Drew","NEW","3937","3946","Rat","M",122,170,"","Juv","","Tail 150mm","hol","hol MR1","Nov",2003,3
"12760",17,"P+",2003-11-16,"MR1","C1","Drew","RECAP","2912","3997","Rat","",NA,NA,"","","","Right Tag changed from 4181 to 3997 (16/11/2003).","hol","hol MR1","Nov",2003,3
"12773",17,"P+",2003-11-16,"MR1","F7","Yockney","RECAP","1583","4193","Rat","",NA,NA,"","","","","hol","hol MR1","Nov",2003,3
"12774",17,"P+",2003-11-16,"MR1","F8","Yockney","NEW","1446","1503","Rat","F",160,180,"","Juv","","Tail = 190","hol","hol MR1","Nov",2003,3
"12777",17,"P+",2003-11-16,"MR1","G9","Yockney","NEW","4188","4192","Rat","F",116,150,"","Juv","","Tail = 200mm","hol","hol MR1","Nov",2003,3
"12778",17,"P+",2003-11-16,"MR1","H3","Yockney","RECAP","1466","4182","Rat","",NA,NA,"","","","","hol","hol MR1","Nov",2003,3
"12864",17,"P+",2003-11-17,"MR1","D1","Yockney","RECAP","2912","3997","Rat","",NA,NA,"","","","New right tag","hol","hol MR1","Nov",2003,4
"12876",17,"P+",2003-11-17,"MR1","G3","Yockney","NEW","1489","4195","Rat","F",45,100,"","Juv","","Tail 120mm","hol","hol MR1","Nov",2003,4
"12879",17,"P+",2003-11-17,"MR1","H3","Yockney","RECAP","1466","4182","Rat","",NA,NA,"","","y","DOA","hol","hol MR1","Nov",2003,4
"13333",18,"P+",2004-03-04,"M2","E9","Yockney","NEW","1579","4184","Rat","M",30,90,"","Juv","","Tail 110mm","hol","hol M2","Feb",2004,1
"13336",18,"P+",2004-03-04,"M2","F9","Yockney","NEW","1468","4200","Rat","M",30,100,"","Juv","","Tail 110mm","hol","hol M2","Feb",2004,1
"13350",18,"P+",2004-03-04,"MR1","D9","Yockney","NEW","4189","4273","Rat","M",32,100,"","Juv","","Tail 105mm  (Kiore?)  Right Tag changed from 4199 to 4273 (4/03/2004).","hol","hol MR1","Feb",2004,1
"13352",18,"P+",2004-03-04,"MR1","G9","Yockney","NEW","4180","4191","Rat","M",31,102,"","Juv","","Tail 101mm  (Kiore?)","hol","hol MR1","Feb",2004,1
"13353",18,"P+",2004-03-04,"MR1","H3","Heyward","NEW","4016","4173","Rat","F",24,100,"","Adult","","Tail 100mm","hol","hol MR1","Feb",2004,1
"13354",18,"P+",2004-03-04,"MR1","H5","Heyward","NEW","4161","4164","Rat","M",45,125,"","Juv","","Tail 115mm","hol","hol MR1","Feb",2004,1
"13356",18,"P+",2004-03-04,"MR1","I3","Heyward","NEW","0","0","Rat","",160,NA,"","","","Escaped","hol","hol MR1","Feb",2004,1
"13383",18,"P+",2004-03-05,"M2","A5","Drew","NEW","4077","4101","Rat","F",151,160,"","Juv","","Tail = 210mm","hol","hol M2","Feb",2004,2
"13392",18,"P+",2004-03-05,"M2","E8","Yockney","NEW","1522","4197","Rat","M",50,103,"","Juv","","Tail = 120mm","hol","hol M2","Feb",2004,2
"13395",18,"P+",2004-03-05,"M2","G9","Heyward","RECAP","1468","4200","Rat","M",32,NA,"","Juv","","","hol","hol M2","Feb",2004,2
"13407",18,"P+",2004-03-05,"MR1","E2","Yockney","OLD","1447","4179","Rat","F",40,120,"","Juv","","Tail = 120mm","hol","hol MR1","Feb",2004,2
"13408",18,"P+",2004-03-05,"MR1","E4","Yockney","NEW","1419","1527","Rat","M",45,130,"","Adult","","Tail =125","hol","hol MR1","Feb",2004,2
"13409",18,"P+",2004-03-05,"MR1","F4","Yockney","NEW","4187","4196","Rat","M",40,105,"","Juv","","Tail = 105mm","hol","hol MR1","Feb",2004,2
"13410",18,"P+",2004-03-05,"MR1","H3","Heyward","NEW","4816","4817","Rat","M",45,125,"","Juv","","Tail = 115.","hol","hol MR1","Feb",2004,2
"13413",18,"P+",2004-03-05,"MR1","I8","Heyward","NEW","4814","4815","Rat","F",50,130,"","Adult","","Tail = 120mm","hol","hol MR1","Feb",2004,2
"13432",18,"P+",2004-03-06,"M2","D8","Drew","NEW","4107","4109","Rat","M",33,105,"","Juv","","Tail 120mm","hol","hol M2","Feb",2004,3
"13445",18,"P+",2004-03-06,"MR1","A1","Drew","NEW","4120","4122","Rat","M",134,165,"","Adult","","Tail 184mm","hol","hol MR1","Feb",2004,3
"13448",18,"P+",2004-03-06,"MR1","C9","Yockney","RECAP","4189","4273","Rat","",NA,NA,"","","","Right Tag changed from 4199 to 4273 (6/03/2004).","hol","hol MR1","Feb",2004,3
"13449",18,"P+",2004-03-06,"MR1","D8","Yockney","RECAP","4816","4817","Rat","",NA,NA,"","","","","hol","hol MR1","Feb",2004,3
"13453",18,"P+",2004-03-06,"MR1","F9","Yockney","RECAP","4180","4191","Rat","M",NA,NA,"","","","","hol","hol MR1","Feb",2004,3
"13454",18,"P+",2004-03-06,"MR1","H4","Heyward","RECAP","4016","4173","Rat","",NA,NA,"","","","","hol","hol MR1","Feb",2004,3
"13455",18,"P+",2004-03-06,"MR1","H5","Heyward","OLD","1597","4828","Rat","F",150,170,"","Adult","","","hol","hol MR1","Feb",2004,3
"13487",18,"P+",2004-03-07,"MR1","C7","Drew","NEW","4104","4123","Rat","M",34,110,"","Juv","","Tail = 110mm","hol","hol MR1","Feb",2004,4
"13489",18,"P+",2004-03-07,"MR1","D6","Drew","NEW","4110","4113","Rat","F",130,155,"","Juv","","Tail 205","hol","hol MR1","Feb",2004,4
"13492",18,"P+",2004-03-07,"MR1","E5","Yockney","NEW","1589","4194","Rat","F",35,95,"","Juv","","Tail 100mm  Kiore???","hol","hol MR1","Feb",2004,4
"13493",18,"P+",2004-03-07,"MR1","E6","Yockney","RECAP","4816","4817","Rat","",NA,NA,"","","","","hol","hol MR1","Feb",2004,4
"13494",18,"P+",2004-03-07,"MR1","E9","Yockney","RECAP","4180","4191","Rat","M",NA,NA,"","","","","hol","hol MR1","Feb",2004,4
"13495",18,"P+",2004-03-07,"MR1","F1","Yockney","NEW","4176","4190","Rat","F",38,105,"","Juv","","Tail 110mm","hol","hol MR1","Feb",2004,4
"13496",18,"P+",2004-03-07,"MR1","F4","Yockney","RECAP","4187","4196","Rat","",NA,NA,"","","","","hol","hol MR1","Feb",2004,4
"13499",18,"P+",2004-03-07,"MR1","G1","Heyward","RECAP","1447","4179","Rat","",NA,NA,"","","","","hol","hol MR1","Feb",2004,4
"13500",18,"P+",2004-03-07,"MR1","G9","Heyward","RECAP","4189","4273","Rat","",NA,NA,"","","","Right Tag changed from 4199 to 4273 (7/03/2004).","hol","hol MR1","Feb",2004,4
"13501",18,"P+",2004-03-07,"MR1","H4","Heyward","RECAP","4016","4173","Rat","",NA,NA,"","","","","hol","hol MR1","Feb",2004,4
"13502",18,"P+",2004-03-07,"MR1","H6","Heyward","RECAP","4161","4164","Rat","",NA,NA,"","","","","hol","hol MR1","Feb",2004,4
"13503",18,"P+",2004-03-07,"MR1","H7","Heyward","NEW","4833","4834","Rat","M",60,145,"","Adult","","Tail = 125mm","hol","hol MR1","Feb",2004,4
"13504",18,"P+",2004-03-07,"MR1","I1","Heyward","NEW","4826","4827","Rat","M",51,138,"","Juv","","Tail = 138","hol","hol MR1","Feb",2004,4
"13506",18,"P+",2004-03-07,"MR1","I9","Heyward","NEW","4830","4832","Rat","F",68,140,"","Adult","","Tail = 140","hol","hol MR1","Feb",2004,4
"13530",18,"P+",2004-03-08,"M2","D9","Yockney","RECAP","4107","4109","Rat","",NA,NA,"","","","","hol","hol M2","Feb",2004,5
"13535",18,"P+",2004-03-08,"M2","F6","Yockney","RECAP","1579","4184","Rat","",NA,NA,"","","","","hol","hol M2","Feb",2004,5
"13548",18,"P+",2004-03-08,"MR1","G4","Heyward","RECAP","4016","4173","Rat","",NA,NA,"","","","","hol","hol MR1","Feb",2004,5
"13549",18,"P+",2004-03-08,"MR1","G5","Heyward","NEW","4846","4847","Rat","",NA,105,"","","","Tail 105mm","hol","hol MR1","Feb",2004,5
"13551",18,"P+",2004-03-08,"MR1","G9","Heyward","RECAP","4189","4273","Rat","",NA,NA,"","","","Right Tag changed from 4199 to 4273 (8/03/2004).","hol","hol MR1","Feb",2004,5
"13555",18,"P+",2004-03-08,"MR1","I8","Heyward","RECAP","4816","4817","Rat","",NA,NA,"","","","","hol","hol MR1","Feb",2004,5
"13562",18,"P+",2004-03-08,"MR2","I5","Heyward","NEW","4844","4845","Rat","M",63,140,"","Adult","","Tail 150","hol","hol MR2","Feb",2004,5
"13564",18,"P+",2004-03-08,"R2","B3","Drew","OLD","1534","1599","Rat","F",150,160,"","Adult","","Tail 210mm","hol","hol R2","Feb",2004,5
"13753",19,"P+",2004-05-22,"M2","E3","Yockney","NEW","4231","427","Rat","M",58,135,"","Juv","","","hol","hol M2","May",2004,1
"13760",19,"P+",2004-05-22,"MR1","E3","Yockney","NEW","4261","0","Rat","",NA,155,"","","","","hol","hol MR1","May",2004,1
"13762",19,"P+",2004-05-22,"MR1","H1","Heyward","OLD","0","0","Rat","F",50,130,"","Adult","y","""""""DOA Tail 120mm""""""","hol","hol MR1","May",2004,1
"13763",19,"P+",2004-05-22,"MR1","I8","Heyward","NEW","4206","4213","Rat","M",39,120,"","Juv","","","hol","hol MR1","May",2004,1
"13793",19,"P+",2004-05-23,"MR1","D1","Yockney","OLD","4269","4275","Rat","F",50,122,"","Juv","","Tail 125mm","hol","hol MR1","May",2004,2
"13794",19,"P+",2004-05-23,"MR1","I5","Heyward","NEW","4220","4705","Rat","M",64,130,"","Juv","","Right Tag changed from 4852 to 4705 (23/05/2004).","hol","hol MR1","May",2004,2
"13795",19,"P+",2004-05-23,"MR1","I8","Heyward","RECAP","4206","4213","Rat","",NA,NA,"","","","","hol","hol MR1","May",2004,2
"13820",19,"P+",2004-05-24,"MR1","A9","Ruscoe","NEW","4139","4230","Rat","M",100,150,"","Adult","","Tail =180mm","hol","hol MR1","May",2004,3
"13822",19,"P+",2004-05-24,"MR1","E6","Heyward","OLD","4225","1471","Rat","M",45,120,"","Juv","","Tail = 120mm  Right Tag changed from 4857 to 1471 (24/05/2004).","hol","hol MR1","May",2004,3
"13823",19,"P+",2004-05-24,"MR1","G2","Heyward","NEW","0","0","Rat","",NA,NA,"","","y","Eaten by stoat - no tags found","hol","hol MR1","May",2004,3
"13826",19,"P+",2004-05-24,"MR2","B9","Ruscoe","NEW","4137","4232","Rat","M",NA,165,"","Adult","","Tail - 175mm","hol","hol MR2","May",2004,3
"13869",19,"P+",2004-05-25,"MR1","E8","Heyward","OLD","4816","4817","Rat","M",50,130,"","Juv","","Tail = 110mm","hol","hol MR1","May",2004,4
"13870",19,"P+",2004-05-25,"MR1","F5","Heyward","RECAP","4225","1471","Rat","",NA,NA,"","","","Right Tag changed from 4857 to 1471 (25/05/2004).","hol","hol MR1","May",2004,4
"13871",19,"P+",2004-05-25,"MR1","I5","Heyward","RECAP","4220","4705","Rat","",NA,NA,"","","","Right Tag changed from 4852 to 4705 (25/05/2004).","hol","hol MR1","May",2004,4
"13885",19,"P+",2004-05-25,"R2","G8","Heyward","NEW","4205","4214","Rat","M",30.5,105,"","Juv","","Tail = 110mm","hol","hol R2","May",2004,4
"13895",19,"P+",2004-05-26,"MR1","A9","Ruscoe","RECAP","4139","4230","Rat","",NA,NA,"","","","","hol","hol MR1","May",2004,5
"13896",19,"P+",2004-05-26,"MR1","E1","Ruscoe","RECAP","4269","4275","Rat","",NA,NA,"","","","","hol","hol MR1","May",2004,5
